ID,0_CAMPO_ILEGAL,DESC_MUY_LARGA_QUE_SUPERA_LOS_10_CHARS_A,DESC_MUY_LARGA_QUE_SUPERA_LOS_10_CHARS_B,TIEMPO_TOTAL,FECHA_REG,ACTIVO,MONTO,NOTAS_COMPLEJAS
1,Inicio,Prueba estandar,Colision de nombre,12:30:00,2024-01-01,TRUE,150.50,"Nota normal"
2,Numero,Texto con ñ y tildes,Segunda colision,151:00,2024-02-15,T,1200.00,"Prueba de hora 151 (El bug anterior)"
3,Simbolo,Caracteres: !@#$%^&*,Tercera colision,1250:45:00,1899-12-31,FALSE,-50.99,"Hora gigante 1250h y fecha 1899"
4,Espacio,Texto con   espacios,Cuarta colision,00:00:01,1800-01-01,0,0.0001,"Fecha Pre-1900 (Debe ir a 1900)"
5,Vacio,,Quinta colision,24:00,2025-12-31,1,99999.99,"Campo vacio en columna 2"
6,Comillas,Texto con "comillas",Sexta colision,48:00,2023/05/20,YES,10.5,"CSV con comillas escapadas"
7,Comas,"Texto, con, comas",Septima colision,99:59,2023-11-01,NO,5.00,"CSV con comas internas"
8,Nulo,NULL,Octava colision,,NULL,F,,"Campos NULL o vacios"
9,Borde,Largo exacto 254 chars...,Novena colision,100:00:00,2024-02-29,SI,100,"Año bisiesto"
10,Mezcla,123456,Decima colision,12:12:12,,TRUE,1,"Falta fecha"
11,Stress1,Relleno de datos,Test de carga,1:00,2024-01-01,T,10.00,"Relleno 1"
12,Stress2,Relleno de datos,Test de carga,2:00,2024-01-02,T,20.00,"Relleno 2"
13,Stress3,Relleno de datos,Test de carga,3:00,2024-01-03,T,30.00,"Relleno 3"
14,Stress4,Relleno de datos,Test de carga,4:00,2024-01-04,T,40.00,"Relleno 4"
15,Stress5,Relleno de datos,Test de carga,5:00,2024-01-05,T,50.00,"Relleno 5"
16,Stress6,Relleno de datos,Test de carga,6:00,2024-01-06,T,60.00,"Relleno 6"
17,Stress7,Relleno de datos,Test de carga,7:00,2024-01-07,T,70.00,"Relleno 7"
18,Stress8,Relleno de datos,Test de carga,8:00,2024-01-08,T,80.00,"Relleno 8"
19,Stress9,Relleno de datos,Test de carga,9:00,2024-01-09,T,90.00,"Relleno 9"
20,Stress10,Relleno de datos,Test de carga,10:00,2024-01-10,T,100.00,"Relleno 10"
21,Falla1,Texto muy largo para forzar error en DBF antiguo si no se corta bien el campo memo o char 254 asi que escribo mucho,Test,11:00,2024-01-11,T,110.00,"Test longitud string"
22,Falla2,Simbolos raros | \ / ?,Test,12:00,2024-01-12,T,120.00,"Pipes y slashes"
23,Falla3,Salto de linea \n oculto,Test,13:00,2024-01-13,T,130.00,"Newline test"
24,Formula,Deberia ser texto,Test,0.5,2024-01-14,T,0.5,"0.5 simulando medio dia"
25,Limite,Limite decimales,Test,14:00,2024-01-15,T,0.123456789,"Decimales largos"
